nombre_escuela,alcaldia,nivel,anio,matricula_inicial,desertores,tasa_desercion
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2000,346,2,0.0058
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2001,358,3,0.0084
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2002,344,1,0.0029
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2003,333,1,0.003
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2004,359,0,0.0
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2005,356,1,0.0028
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2006,356,1,0.0028
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2007,351,1,0.0028
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2008,360,0,0.0
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2009,360,1,0.0028
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2010,371,1,0.0027
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2011,354,4,0.0113
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2012,339,3,0.0088
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2013,370,0,0.0
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2014,374,2,0.0053
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2015,358,0,0.0
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2016,369,1,0.0027
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2017,349,1,0.0029
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2018,360,2,0.0056
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2019,363,3,0.0083
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2020,374,4,0.0107
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2021,357,6,0.0168
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2022,376,6,0.016
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2023,371,4,0.0108
Escuela Primaria Benito Juarez 01,Alvaro Obregon,Primaria,2024,374,2,0.0053
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2000,422,2,0.0047
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2001,446,3,0.0067
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2002,451,3,0.0067
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2003,437,1,0.0023
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2004,421,4,0.0095
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2005,439,1,0.0023
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2006,458,0,0.0
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2007,454,2,0.0044
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2008,430,2,0.0047
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2009,458,3,0.0066
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2010,466,3,0.0064
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2011,492,0,0.0
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2012,442,2,0.0045
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2013,429,4,0.0093
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2014,461,2,0.0043
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2015,443,0,0.0
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2016,440,3,0.0068
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2017,449,1,0.0022
